Gender,LearningStyle,Extracurricular,Internet,OnlineCourses,EduTech,Resources,FinalGrade,Age,StudyHours,Attendance,Motivation,Discussions,AssignmentCompletion,ExamScore,StressLevel
0,2,0,1,19,0,1,3,19,19,64,0,1,59,40,1
0,3,0,1,8,0,1,2,23,19,64,0,0,90,66,1
0,1,0,1,11,1,1,0,28,19,64,0,0,67,99,1
0,2,1,1,19,0,1,3,19,19,64,0,1,59,40,1
0,3,1,1,8,0,1,2,23,19,64,0,0,90,66,1
0,1,1,1,11,1,1,0,28,19,64,0,0,67,99,1
0,2,1,1,19,0,0,3,19,19,64,0,1,59,40,1
0,3,1,1,8,0,0,2,23,19,64,0,0,90,66,1
0,1,1,1,11,1,0,0,28,19,64,0,0,67,99,1
0,2,1,1,19,0,1,3,19,19,64,1,1,59,40,1
0,3,1,1,8,0,1,2,23,19,64,1,0,90,66,1
0,1,1,1,11,1,1,0,28,19,64,1,0,67,99,1
0,2,0,1,19,0,2,3,19,19,64,1,1,59,40,1
0,3,0,1,8,0,2,2,23,19,64,1,0,90,66,1
0,1,0,1,11,1,2,0,28,19,64,1,0,67,99,1
1,0,1,1,14,1,1,3,29,24,98,1,0,65,46,2
1,0,1,1,0,1,1,1,27,24,98,1,1,71,83,0
1,1,1,1,16,1,1,0,25,24,98,1,1,61,95,0
1,0,0,1,14,1,0,3,29,24,98,2,0,65,46,2
1,0,0,1,0,1,0,1,27,24,98,2,1,71,83,0
1,1,0,1,16,1,0,0,25,24,98,2,1,61,95,0
1,0,0,1,14,1,0,3,29,24,98,1,0,65,46,2
1,0,0,1,0,1,0,1,27,24,98,1,1,71,83,0
1,1,0,1,16,1,0,0,25,24,98,1,1,61,95,0
1,0,1,1,14,1,1,3,29,24,98,2,0,65,46,2
1,0,1,1,0,1,1,1,27,24,98,2,1,71,83,0
1,1,1,1,16,1,1,0,25,24,98,2,1,61,95,0
1,0,0,0,14,1,0,3,29,24,98,0,0,65,46,2
1,0,0,0,0,1,0,1,27,24,98,0,1,71,83,0
1,1,0,0,16,1,0,0,25,24,98,0,1,61,95,0
1,0,1,1,9,1,1,3,20,29,89,1,1,75,54,2
1,2,1,1,15,1,1,3,23,29,89,1,1,59,42,2
1,0,1,1,1,1,1,2,23,29,89,1,0,96,62,2
1,0,1,1,9,1,0,3,20,29,89,0,1,75,54,2
1,2,1,1,15,1,0,3,23,29,89,0,1,59,42,2
1,0,1,1,1,1,0,2,23,29,89,0,0,96,62,2
0,3,1,1,4,1,1,3,19,19,92,1,1,63,40,2
0,2,1,1,14,1,1,0,26,19,92,1,0,86,94,2
0,3,0,1,4,1,2,3,19,19,92,1,1,63,40,2
0,2,0,1,14,1,2,0,26,19,92,1,0,86,94,2
0,3,1,1,4,1,2,3,19,19,92,1,1,63,40,2
0,2,1,1,14,1,2,0,26,19,92,1,0,86,94,2
0,3,0,1,4,1,1,3,19,19,92,2,1,63,40,2
0,2,0,1,14,1,1,0,26,19,92,2,0,86,94,2
1,2,1,1,2,1,0,3,21,29,84,0,1,57,48,2
1,2,1,1,6,1,0,2,28,29,84,0,0,74,60,0
1,2,1,1,2,1,1,3,21,29,84,1,1,57,48,2
1,2,1,1,6,1,1,2,28,29,84,1,0,74,60,0
1,2,1,1,9,1,2,2,18,25,78,1,0,91,58,2
1,2,1,1,9,1,0,2,18,25,78,1,0,91,58,2
1,3,0,1,14,0,2,0,19,17,94,2,1,74,92,2
1,3,0,1,14,0,1,0,19,17,94,0,1,74,92,2
1,3,0,1,14,0,1,0,19,17,94,1,1,74,92,2
1,3,1,1,14,0,1,0,19,17,94,1,1,74,92,2
1,3,0,1,14,0,0,0,19,17,94,2,1,74,92,2
1,3,1,1,14,0,0,0,19,17,94,0,1,74,92,2
1,3,1,1,14,0,2,0,19,17,94,1,1,74,92,2
1,2,1,1,16,0,1,2,27,23,98,1,0,65,58,2
1,1,1,1,15,0,1,0,27,23,98,1,1,100,93,2
1,2,0,1,16,0,0,2,27,23,98,1,0,65,58,2
1,1,0,1,15,0,0,0,27,23,98,1,1,100,93,2
1,2,0,1,16,0,2,2,27,23,98,1,0,65,58,2
1,1,0,1,15,0,2,0,27,23,98,1,1,100,93,2
1,2,1,1,16,0,2,2,27,23,98,0,0,65,58,2
1,1,1,1,15,0,2,0,27,23,98,0,1,100,93,2
1,1,0,0,5,0,2,1,18,17,80,1,1,68,73,2
1,3,0,0,3,1,2,2,24,17,80,1,1,64,69,0
1,0,0,0,18,1,2,0,23,17,80,1,1,68,87,1
1,0,0,0,4,1,2,0,27,17,80,1,0,64,88,0
1,1,0,0,0,1,2,1,29,17,80,1,1,73,78,0
1,1,0,1,5,0,1,1,18,17,80,1,1,68,73,2
1,3,0,1,3,1,1,2,24,17,80,1,1,64,69,0
1,0,0,1,18,1,1,0,23,17,80,1,1,68,87,1
1,0,0,1,4,1,1,0,27,17,80,1,0,64,88,0
1,1,0,1,0,1,1,1,29,17,80,1,1,73,78,0
1,1,0,1,5,0,2,1,18,17,80,1,1,68,73,2
1,3,0,1,3,1,2,2,24,17,80,1,1,64,69,0
1,0,0,1,18,1,2,0,23,17,80,1,1,68,87,1
1,0,0,1,4,1,2,0,27,17,80,1,0,64,88,0
1,1,0,1,0,1,2,1,29,17,80,1,1,73,78,0
1,1,1,1,20,1,2,0,27,17,97,0,0,64,87,1
1,2,1,1,13,1,2,1,25,17,97,0,1,70,82,1
1,1,0,1,20,1,1,0,27,17,97,1,0,64,87,1
1,2,0,1,13,1,1,1,25,17,97,1,1,70,82,1
1,1,0,1,20,1,2,0,27,17,97,2,0,64,87,1
1,2,0,1,13,1,2,1,25,17,97,2,1,70,82,1
1,1,1,0,20,1,2,0,27,17,97,1,0,64,87,1
1,2,1,0,13,1,2,1,25,17,97,1,1,70,82,1
1,1,0,1,20,1,2,0,27,17,97,1,0,64,87,1
1,2,0,1,13,1,2,1,25,17,97,1,1,70,82,1
1,1,1,1,20,1,0,0,27,17,97,1,0,64,87,1
1,2,1,1,13,1,0,1,25,17,97,1,1,70,82,1
1,1,1,1,20,1,1,0,27,17,97,1,0,64,87,1
1,2,1,1,13,1,1,1,25,17,97,1,1,70,82,1
1,1,0,0,20,1,0,0,27,17,97,2,0,64,87,1
1,2,0,0,13,1,0,1,25,17,97,2,1,70,82,1
1,1,1,1,20,1,1,0,27,17,97,0,0,64,87,1
1,2,1,1,13,1,1,1,25,17,97,0,1,70,82,1
1,2,1,1,1,0,1,0,27,21,83,0,0,66,86,1
1,0,1,1,18,1,1,0,27,21,83,0,1,77,96,1
1,2,1,1,1,0,1,0,27,21,83,2,0,66,86,1
1,0,1,1,18,1,1,0,27,21,83,2,1,77,96,1
1,2,0,1,1,0,0,0,27,21,83,0,0,66,86,1
1,0,0,1,18,1,0,0,27,21,83,0,1,77,96,1
1,2,1,1,1,0,0,0,27,21,83,0,0,66,86,1
1,0,1,1,18,1,0,0,27,21,83,0,1,77,96,1
1,2,1,1,1,0,2,0,27,21,83,2,0,66,86,1
1,0,1,1,18,1,2,0,27,21,83,2,1,77,96,1
